Aankomst W.P. 11: Zwarte Veen;;
Open: 06:50 uur;;
Uiterste starttijd: 09:20 uur;;
Afst;Omschrijving;Locatie
-;Na het W.P. eerste rechts;Guldenweg
0,5;Einde weg links;Kronenweg
0,6;Einde weg rechts;Euroweg
0,9;Volg weg mee naar rechts;-
1,1;Eerste weg links en direct weer links;Aaltenseweg(nr.99-101a)
1,9;Einde weg links, brug over ;Entinkweg
2,0;Eerste weg rechts;Vossenbult
3,2;Eerste weg links;Gruttersweg
4,3;Einde weg links;Veenweg
4,5;W.P. bevindt zich vlak voor kruising;-
Aankomst W.P. 12:Zwarte Veen;;
Open: 07:05 uur;;
Uiterste starttijd: 09:45 uur;;
