Etappe 2;;
Vertrek W.P. 1: Driehuizerweg;;
Open: 00:10 uur;;
Uiterste starttijd: 02:00 uur;;
Afst;Omschrijving;Locatie
-;Na W.P. weg vervolgen;-
0,1;Bij de kruising rechsaf;d’Almarasweg
0,6;Spoor oversteken;-
0,9;Verkeerslichten rechtdoor oversteken;Sophiaweg
1,6;Volg Doorgaand verkeer;-
2,3;Rotonde eerste afslag;Kwakkenbergweg
3;Einde weg rechts;Berg en Dalseweg
4,4;Vierde weg linksaf;Nieuwe Holleweg
4,5;Rechts weg aanhouden;Hogeweg
5;Einde weg rechtsaf ;Van Randwijckweg
5,6;Einde weg rechtsaf ;Rijksstraatweg
6,1;Na flauwe S-bocht linksaf;Plataanstraat
6,4;Rechtsaf fietspad op tunnel door na tunnel rechtdoor;-
6,7;W.P. voor sportpark kantine;-
Aankomst W.P. 2: Wylerbergmeer;;
Open: 00:30 uur;;
Uiterste starttijd: 02:40 uur;;
