Vertrek W.P. 19: Noordijk;;
Open: 12:00;;
Uiterste starttijd: 14:35 uur;;
Afst;Omschrijving;Locatie
-;Na het W.P. rechtsaf;Markveldsedijk
0,8;Bij kruising (Kipkersdijk) rechtdoor;-
0,9;Bij zijstraat (Hornteweg) rechtdoor;-
1,4;Bij kruising (Karelsdijk/Zijdeweg) rechtdoor ;-
1,5;Bij zijstraat rechtdoor;-
1,9;Einde weg oversteken en linksaf;Diepenheimseweg
2;Direct eerste weg rechtsaf, rechts lopen;Deldenseweg
2,5;Brug over, rechtdoor;-
3,1;Bij kruising rechtsaf;Oude deldensestraat
3,2;Bocht mee naar rechts;-
3,8;Eerste weg linksaf;Middendorperweg
5;Brug over;Middendorperweg
6;Het W.P.is voor het kruispunt;-
Aankomst W.P. 20: Middendorp;;
Open: 12:40;;
Uiterste starttijd: 14:55 uur;;
