Afst;Omschrijving;Locatie
-;Vertrek W.P. 7: Azewijn;-
-;Na W.P. weg vervolgen;-
0,5;Zijstraat (Hesterweg) rechtdoor;Hoofdstraat
0,9;Zijstraat (Weteringsweg) rechtdoor;;-
1,2;Driesprong rechts;Gendringseweg
1,7;Zijstraat (Dijkweg) rechtdoor;-
2,3;Einde weg rechts;Vicarisweg
2,4;Voorrangsweg oversteken ;Wesenhorstlaan
2,8;Rotonde rechtdoor;Anton Tijdinklaan
3,4;Bij derde zijstraat rechtsaf;Nijverheidsweg
4,1;Einde weg linksaf;Rijnweg
4,3;Rotonde rechtdoor, ri Dinxperlo;Engbergseweg
4,6;Brug over;-
4,9;Kruising (Bosweg) rechtdoor;-
5,4;Zijstraat (Beekweg) rechtdoor;-
5,9;Kruising (Grensweg) rechtdoor;Marmelhorstweg
6,2;Zijstraat (Stakenborgweg) rechtdoor;-
6,3;Brug over;-
7,3;Kruising in bocht weg volgen;-
7,8;Brug over;-
8,1;W.P. bij rotonde;-
Aankomst W.P. 8: Marmelhorst;;
