Vertrek W.P. 18: Nettelhorst;;
Open: 11:40;;
Uiterste starttijd: 13:45 uur;;
Afst;Omschrijving;Locatie
-;Na het W.P. weg vervolgen;Slaapweg
0,7;Bij kruising linksaf;Geesterse Broekweg
0,8;Zijstraat (Altena’s Dijk) rechtdoor;Geesterse Broekweg
1,6;Kruising (Boerenesweg) rechtdoor;Kotte Bekke, onverhard
2,2;Einde weg linksaf;Esweg
2,5;Eerste weg rechtsaf;Oosterveldweg
3;Viersprong links aanhouden;-
3,4;Einde weg linksaf;Oude Diepenheimseweg
3,9;Brug over;Aaftinkdijk
4,2;Eerste weg rechtsaf;Lage Broekdijk
4,8;Zijweg (Hagdijk) rechtdoor;-
5,3;Einde rechtsaf (rechts lopen!);Elsmansdijk
5,6;Tweede weg linksaf;Graafdijk, onverhard
6;Einde weg rechtsaf;Haardijk
6,3;Met bocht mee links;Waninkdijk
-;Bij drie zijwegen rechtdoor;-
6,8;Driesprong links aanhouden;Mengersdijk
7,2;W.P. vlak voor kruising;-
Aankomst W.P. 19: Noordijk;;
Open: 12:00;;
Uiterste starttijd: 14:35 uur;;
