Vertrek W.P. 20: Middendorp;;
Open: 12:40;;
Uiterste starttijd: 14:55 uur;;
Afst;Omschrijving;Locatie
-;Na het W.P. rechtsaf;Oude Haaksbergerweg
1,4;Bretelerveldweg rechtdoor oversteken;Diepenheimseweg
1,9;Zijstraat (Stegenhoekweg) rechtdoor;-
3,7;Bij kruising (Olthuisweg) linksaf;Olthuisweg
4,5;Kruising (Weideweg/Ellenbroekweg) rechtdoor ;Binnenveldseweg
5,4;Einde weg rechtsaf;Goorsestraat
5,5;Rotonde 2e afslag;Beckummerweg
5,8;St. Isidorushoeve uitlopen;Beckummerweg
6,1;2e weg rechtsaf;Leferinkweg
6,2;Driesprong rechts aanhouden;-
6,4;Rechtsaf fietspad op;Leferinkweg
6,8;Fietspad wordt verharde weg;Boonkweg
7,3;Einde weg linksaf;Heetpasweg
7,4;Driesprong linksaf slaan;Hassinkbrinkweg
8,2;Driesprong links aanhouden;Wissinkbrinkweg
8,7;Het W.P. is voor de eerste kruising;-
Aankomst W.P. 21: St. Isidorushoeve;;
Open: 13:10;;
Uiterste starttijd: 15:35 uur;;
