Etappe 7;;
Vertrek W.P. 6: 's Heerenberg;;
Open: 02:50 uur;;
Uiterste starttijd: 05:40 uur;;
Afst;Omschrijving;Locatie
-;Na W.P. kruispunt rechtdoor;Links van de weg lopen!
0,3;Zijweg rechtdoor;-
0,5;Driesprong links aanhouden;Ulenpasweg
0,6;Voorrangsweg oversteken rechtsaf voetpad op;‘s Heerenbergseweg
1;Tweede zijstraat rechts aanhouden;Meilandsedijk
1,5;Rotonde rechtdoor;-
1,6;Eerste weg linksaf;Wethouder Brandtsweg
1,8;Bij zijstraat (Borgstraat) rechtdoor;-
2,6;Driesprong links aanhouden;-
3,5;Loop Azewijn binnen;-
3,6;Einde weg rechtsaf;-
3,7;Verkeersheuvel rechtdoor oversteken;Pastoor Meursstraat
3,9;Kruising Laakweg rechtdoor oversteken;Passtraat
4;Links aanhouden;-
4,3;Einde weg linksaf;Lugtenakkerstraat
4,5;Einde weg rechtsaf;Gendringseweg
5,3;Voorangsweg linksaf links op fietspad blijven lopen;Berghseweg
6;Bij kruising rechtsaf voorrangsweg oversteken;Azewijnsestraat
6,6;Eerste weg linksaf;Hoofdstraat
6,7;50m na bocht - W.P.;-
Aankomst W.P. 7: Azewijn;;
Open: 03:15 uur;;
Uiterste starttijd: 06:25 uur;;
