Aankomst W.P. 16: Hagenbeek;;
Open: 08:50 uur;;
Uiterste starttijd: 12:10 uur;;
Afst;Omschrijving;Locatie
-;Na het W.P. schuin rechts oversteken;Zwarteweg
0,8;Bij viersprong schuin links oversteken;Oude Ruurloseweg
1,7;Bij driesprong rechts aanhouden;Vrochterdijk
1,9;Bij zijstraat (Doktersdijk) rechtdoor;-
2,5;Bij zijstraat (Flierdijk) rechtdoor;-
2,9;Bij kruising (met paddenstoel) rechtsaf;Larikslaan
3,3;In Barchem eerste weg linksaf;Beukenlaan
3,4;Het W.P. is  aan de rechterkant;-
Aankomst W.P. 17: Barchem;;
Open: 09:20;;
Uiterste starttijd: 12:45 uur;;
