Vertrek W.P. 17: Barchem;;
Herstarts: 11:10 - 12:40 uur;;
Afst;Omschrijving;Locatie
-;Kruising schuin linksaf oversteken;Zwiepseweg
0,2;Barchem uitgaan;-
-;De fietsers voegen zich bij lopers;-
1,0;Zijweg (Witzand) rechtdoor;-
1,1;Linksaf weggetje ri huisnr 17 en 19;-
-;Fietsers moeten hier rechtdoor snel doorrijden voor ca. 2 km daar staat iemand van organisatie.;-
1,5;Lopers: Boerderij linksaf;-
1,7;Eerste zijweg rechtdoor in bocht rechtdoor;-
-;Onverhard;-
1,8;Bos inlopen, hek passeren;-
1,9;Driesprong links aanhouden;-
2,0;Bij zijweg rechtdoor, omlaag;-
2,1;In bocht naar links tweede weg rechts omhoog;Paaltjes passeren
2,3;Einde weiland rechtsaf;-
2,5;Hek passeren, rechtdoor;-
2,5;Op kruising rechtdoor;-
2,6;Op viersprong rechtdoor;-
3,0;Op kruising rechtdoor;-
3,4;Hek passeren, rechtdoor;-
3,6;Kruising (Hoge Enk) rechtdoor;-
3,8;Kruising met verharde weg rechtsaf;Zwiepseweg
4,6;Eeerste straat links in Zwiep;Wengersteeg
-;(De fietsers voegen zich bij lopers);-
5,2;Zijstraat (De Heest) rechtdoor;-
5,6;Brug over;-
6,1;Einde weg rechtsaf, voorrangsweg;Nettelhorsterweg
8,0;Derde weg linksaf;Horstwegs
8,7;Rechtdoor bij zijwegen (links verhad, rechts onverhard);-
9,5;Kruising rechtsaf, W.P. is net na bocht;Slaapweg
Aankomst W.P. 18: Nettelhorst;;
Open: 11:40;;
Uiterste starttijd: 13:45 uur;;
